cluster	gene	avg_logFC	p_val	p_val_adj	prop_in_cluster	prop_out_cluster
6	ENSG00000122705.15	0.49757564365461	5.13850058757071e-20	9.63777170204762e-16	0.908	0.568
6	ENSG00000184602.5	0.374669816299159	7.29496313550281e-20	1.36824328569491e-15	0.506	0.151
6	ENSG00000255398.2	0.323445388686638	7.7466641513793e-20	1.4529643282327e-15	0.356	0.076
6	ENSG00000205302.5	0.460594533797398	8.11673526504594e-20	1.52237486631202e-15	0.885	0.444
6	ENSG00000106636.6	0.256728947438728	8.30342351304771e-20	1.55739011410723e-15	0.425	0.106
6	ENSG00000129993.13	0.277290606605199	8.35072308638263e-20	1.56626162208193e-15	0.425	0.105
6	ENSG00000100055.19	0.483923041280339	8.38299488210784e-20	1.57231452008815e-15	0.839	0.455
6	ENSG00000084234.15	0.368084645508116	8.48980892349736e-20	1.59234856169117e-15	0.966	0.407
6	ENSG00000115956.9	0.441783517335349	8.66267128848468e-20	1.62477062686819e-15	0.908	0.366
6	ENSG00000131174.4	0.499487614341235	9.29050336936678e-20	1.74252681195843e-15	0.966	0.725
6	ENSG00000014914.18	0.291498183933842	1.0992463231338e-19	2.06174640366975e-15	0.414	0.1
6	ENSG00000242574.7	0.636963975953985	1.16916699033935e-19	2.19288960708049e-15	0.77	0.317
6	ENSG00000081237.17	0.467687056206928	1.42766997720636e-19	2.67773780924825e-15	1	0.983
6	ENSG00000161091.11	0.365982069004807	1.46584373588373e-19	2.74933651102353e-15	0.598	0.204
6	ENSG00000174004.5	0.275155532930746	1.69779979646993e-19	3.184393298259e-15	0.437	0.113
6	ENSG00000049245.11	0.339776938876372	1.72495532869294e-19	3.23532621449648e-15	0.644	0.222
6	ENSG00000120708.15	0.341467928700282	1.72809505012223e-19	3.24121507600926e-15	0.747	0.24
6	ENSG00000102144.12	0.469013125294783	1.77647493064581e-19	3.33195637991929e-15	0.989	0.804
6	ENSG00000141252.18	0.519516199357489	1.7987721150639e-19	3.37377697901384e-15	0.586	0.218
6	ENSG00000175550.6	0.556716538428306	2.31826970439801e-19	4.34814665756891e-15	0.908	0.667
6	ENSG00000143570.16	0.32941250212148	2.85881616661245e-19	5.36199560209831e-15	0.598	0.2
6	ENSG00000164086.9	0.300583424007111	3.11284870948952e-19	5.83845903951854e-15	0.402	0.1
6	ENSG00000107341.4	0.461773465524982	3.23504286769772e-19	6.06764640265384e-15	0.92	0.52
6	ENSG00000204389.9	0.4857737512472	3.43518099203979e-19	6.44302546866983e-15	0.713	0.296
6	ENSG00000198223.13	0.282899983553359	3.61244920937001e-19	6.77550973709439e-15	0.54	0.155
6	ENSG00000077549.16	0.407697093182112	3.88130872972425e-19	7.27978265347079e-15	1	0.858
6	ENSG00000132963.7	0.483311345641006	4.30750270037696e-19	8.07915206482703e-15	0.897	0.583
6	ENSG00000180353.9	0.48873162755097	4.36932402965653e-19	8.19510415002378e-15	0.954	0.698
6	ENSG00000144909.7	0.296415752420536	4.44139384133843e-19	8.33027828881435e-15	0.598	0.192
6	ENSG00000154146.11	0.31744681511094	4.44638857238487e-19	8.33964640636506e-15	0.575	0.177
6	ENSG00000103335.18	0.301002916427442	4.46906900893456e-19	8.38218583315766e-15	0.517	0.154
6	ENSG00000198833.6	0.460689736620118	5.36507952957702e-19	1.00627431656747e-14	0.69	0.287
6	ENSG00000116586.10	0.4442453730401	5.73745962839052e-19	1.07611792790093e-14	0.828	0.414
6	ENSG00000137509.9	0.42112635101975	5.78783949317227e-19	1.08556717533939e-14	0.644	0.236
6	ENSG00000189060.5	0.313182928519985	5.79142584726026e-19	1.08623983191214e-14	0.391	0.094
6	ENSG00000072135.11	0.457818832814093	5.84888214069646e-19	1.09701633430903e-14	0.77	0.37
6	ENSG00000277791.3	0.451702837220364	6.26797936519811e-19	1.17562220973656e-14	0.977	0.689
6	ENSG00000145494.10	0.424782353911511	7.07738287557998e-19	1.32743393214378e-14	0.943	0.582
6	ENSG00000135404.10	0.622260109403745	7.63354708079509e-19	1.43174809047393e-14	0.908	0.53
6	ENSG00000137841.10	0.428084823021057	8.7546656293697e-19	1.64202508544458e-14	0.724	0.304
6	ENSG00000100504.15	0.291910785985023	9.89319003327743e-19	1.85556672264152e-14	0.506	0.143
6	ENSG00000124172.8	0.332944614161731	1.04072194139967e-18	1.95197807328923e-14	1	0.999
6	ENSG00000160216.17	0.375296190549182	1.04635469122949e-18	1.96254285887003e-14	0.575	0.198
6	ENSG00000112799.7	0.456230465835851	1.37109335181116e-18	2.57162269065702e-14	0.77	0.292
6	ENSG00000188313.11	0.379627678442287	1.38154380875455e-18	2.59122356770004e-14	0.563	0.185
6	ENSG00000090339.7	0.424304294822272	1.45787533095672e-18	2.73439097074242e-14	0.46	0.132
6	ENSG00000100266.16	0.327516412570764	1.59899757224041e-18	2.99907984649412e-14	0.552	0.18
6	ENSG00000163931.14	0.468139226462714	1.74104470943911e-18	3.26550345702399e-14	0.989	0.648
6	ENSG00000117118.8	0.401223089729322	1.83962611746782e-18	3.45040274592265e-14	0.816	0.402
6	ENSG00000089902.9	0.260066095964052	2.19079347914963e-18	4.10905224949304e-14	0.517	0.152
6	ENSG00000166411.12	0.303676038706979	2.5268953041869e-18	4.73944483253294e-14	0.517	0.161
6	ENSG00000129625.11	0.450218887037864	2.59085922565504e-18	4.8594155636386e-14	0.885	0.485
6	ENSG00000154518.8	0.442656352861811	2.92224532449401e-18	5.48096333062096e-14	0.977	0.768
6	ENSG00000130449.5	0.31403641849208	2.95840455275695e-18	5.54878357915093e-14	0.529	0.165
